name,target,version,median,min,max,accuracy
C++ (clang++),cpp-clang,21.1.2,215.71,215.23,216.08,9.4967
Rust (nightly),rust-nightly,1.94.0,222.21,219.95,222.66,9.4952
C (gcc),c,15.2.0,224.75,224.61,225.02,9.4992
Zig,zig,0.15.2,226.61,226.26,227.49,9.4967
D (LDC),d-ldc,1.41.0,228.49,228.02,228.74,9.4967
C# (SIMD),cs-simd,10.0.101,230.1,228.59,230.75,9.4946
Fortran 90,fortran,14.2.0,230.51,230.46,230.92,9.4402
D (GDC),d,15.2.0,231.88,231.26,233.61,9.4992
Nim,nim,2.2.0,232.59,232.15,234.27,9.4951
C (clang),c-clang,21.1.2,232.64,232.25,233.17,9.4967
C++ (g++),cpp,15.2.0,232.87,232.55,235.16,9.4992
C++ (avx2),cpp-avx2,15.2.0,240.81,236.73,242.52,9.4973
Julia,julia,1.12.3,252.4,248.97,253.76,9.4976
Swift (SIMD),swift-simd,6.2.3,514.64,507.82,521.8,8.6928
Rust,rust,1.92.0,618.13,612.18,625.41,9.4979
Objective-C,objc,21.1.2,887.61,876.83,889.38,9.4964
Java graalvm,java-graalvm,25.0.1,885.67,883.53,886.37,9.4964
Javascript (bun),bunjs,1.3.5,891.12,884.82,899.84,9.4979
Scala,scala,3.7.4,897.07,892.82,897.53,9.4979
WASM (C via Wasmtime),wasm,39.0.1,895.69,895.3,898.62,9.4979
Java (Vec Ops),java-vecops,25.0.1,898.76,896.72,916.81,9.4986
Haxe (C++),haxe,4.3.6,908.31,905.24,913.67,9.4964
Deno (TypeScript),deno,2.6.4,926.96,912.06,934.99,9.4979
V,v,0.4.12,914.06,912.82,920.19,9.4979
Odin,odin,2025,923.41,921.18,925.08,9.4979
Common Lisp (SBCL),sbcl,2.5.11,926.59,926.41,928.52,9.4979
Swift,swift,6.2.3,926.77,926.48,930.69,9.4964
Nature,nature,0.7.2,934.59,933.9,937.5,9.4964
Swift (relaxed),swift-relaxed,6.2.3,948.18,939.92,950.23,9.4979
Kotlin,kotlin,2.2.21,950.39,940.06,962.07,9.4979
Pony(nightly),pony-nightly,20231205,956.06,946.94,958.06,9.4979
Haskell (GHC),haskell,9.10.3,950.52,948.07,977.01,9.4979
Javascript (nodejs),nodejs,25.2.1,949.96,948.39,952.76,9.4979
Dart (AOT),dart-aot,3.10.7,951.31,949.83,959.53,9.4979
Crystal,crystal,1.18.2,963.29,954.9,989.81,9.4964
LuaJIT,luajit,2.1.1723681758,958.77,957.91,959.2,9.4964
C#,cs,10.0.101,963.41,961.03,963.51,9.4979
Pony,pony,0.58.0,971.2,961.83,973.66,9.4979
F#,fs,10.0.101,968.05,965.33,973.38,9.4979
Pascal (FPC),pascal,3.2.2,975.19,970.1,979.56,9.4979
Go,go,1.25.5,996.91,993.8,1013.57,9.4964
Python (PyPy),pypy,3.11.13,1013.31,1009.66,1015.36,9.4964
Ada (gnat-gcc),ada,15.2.0,1015.56,1011.23,1020.87,9.4964
OCaml,ocaml,5.4.0,1022.97,1018.22,1029.21,9.4971
Racket,racket,9.0,1109.36,1100.19,1111.4,9.4964
Java,java,25.0.1,1842.43,1840.93,1844.81,9.4964
Python (NumPy),cpython-numpy,3.13.11,2287.12,2249.91,2566.38,9.4971
Clojure,clj,1.12.4.1582,2453.18,2401.46,2482.21,9.4979
Python (MyPyC),mypyc,1.19.1,2720.48,2711.4,2729.92,9.4979
Groovy,groovy,5.0.3,2724.6,2719.55,2757.81,9.4964
R,r,4.5.2,2893.66,2863.37,2920.66,9.4971
Dart (JIT),dart,3.10.7,3192.13,3151.42,3218.34,9.4979
PHP,php,8.4.16,7900.4,7760.23,8249.13,9.4964
Lua,lua,5.4.8,8857.49,8840.11,8862.2,9.4964
Elixir,elixir,15.2.7.4,8895.09,8853.83,9159.37,9.4964
Erlang,erlang,28.3,11818.84,11237.11,12062.19,9.4964
Janet (compiled),janet-compiled,1.40.1,17160.36,17082.71,17166.77,9.4964
Ruby,ruby,3.4.8,35204.87,34135.29,35990.62,9.4964
Janet,janet,1.40.1,46252.23,46060.39,46553.11,9.4964
Raku,raku,2025.12,70153.42,69895.01,70720.3,9.4964
Python (CPython),cpython,3.14.2,80150.79,79705.96,88586.6,9.4964
Perl,perl,5,82565.13,82415.22,84539.34,9.4964
