name,target,version,median,min,max,accuracy
C++ (clang++),cpp-clang,21.1.2,226.62,225.76,226.73,9.4967
D (LDC),d-ldc,1.41.0,240.12,233.43,240.42,9.4967
Rust (nightly),rust-nightly,1.94.0,234.69,233.83,234.86,9.4952
C (clang),c-clang,21.1.2,235.94,234.45,236.75,9.4967
C++ (avx2),cpp-avx2,15.2.0,236.4,235.99,239.89,9.4973
Zig,zig,0.15.2,237.27,236.54,239.26,9.4967
Nim,nim,2.2.0,239.63,238.93,241.13,9.4951
Julia,julia,1.12.3,243.14,241.79,243.22,9.4976
Fortran 90,fortran,14.2.0,243.16,242.65,244.16,9.4402
C# (SIMD),cs-simd,10.0.101,243.44,243.19,243.76,9.4946
C++ (g++),cpp,15.2.0,245.96,243.74,246.3,9.4992
C (gcc),c,15.2.0,248.77,246.88,249.03,9.4992
D (GDC),d,15.2.0,256.2,256.16,256.6,9.4992
Swift (SIMD),swift-simd,6.2.3,563.98,553.82,609.26,8.6928
Rust,rust,1.92.0,618.37,611.91,625.57,9.4979
Crystal,crystal,1.18.2,918.64,910.58,921.7,9.4964
Java graalvm,java-graalvm,25.0.1,921.46,917.22,926.35,9.4964
Haxe (C++),haxe,4.3.6,920.15,920.06,929.06,9.4964
Odin,odin,2025,933.95,932.03,938.97,9.4979
Scala,scala,3.7.4,940.95,939.31,942.63,9.4979
Objective-C,objc,21.1.2,946.81,941.22,957.47,9.4964
Kotlin,kotlin,2.2.21,950.35,944.62,950.84,9.4979
Ada (gnat-gcc),ada,15.2.0,963.33,945.31,966.43,9.4964
Pony,pony,0.58.0,946.44,945.67,949.17,9.4979
Nature,nature,0.7.1,971.65,947.43,980.92,9.4964
Dart (AOT),dart-aot,3.10.7,957.32,949.1,988.15,9.4979
WASM (C via Wasmtime),wasm,39.0.1,952.26,951.29,964.69,9.4979
Pony(nightly),pony-nightly,20231205,966.65,957.45,974.68,9.4979
Haskell (GHC),haskell,9.10.3,964.89,964.21,966.26,9.4979
V,v,0.4.12,1005.93,971.61,1016.33,9.4979
Deno (TypeScript),deno,2.6.4,981.11,975.0,981.17,9.4979
Go,go,1.25.5,976.92,975.7,978.5,9.4964
Pascal (FPC),pascal,3.2.2,980.62,977.0,989.67,9.4979
Swift,swift,6.2.3,995.5,994.19,995.9,9.4964
Javascript (bun),bunjs,1.3.5,1006.44,998.62,1309.14,9.4979
LuaJIT,luajit,2.1.1723681758,1004.76,1003.83,1005.62,9.4964
Common Lisp (SBCL),sbcl,2.5.11,1040.93,1005.53,1041.67,9.4979
F#,fs,10.0.101,1019.29,1016.94,1027.21,9.4979
C#,cs,10.0.101,1028.98,1028.97,1030.87,9.4979
OCaml,ocaml,5.4.0,1032.3,1030.2,1032.37,9.4971
Swift (relaxed),swift-relaxed,6.2.3,1054.24,1035.77,1061.5,9.4979
Java (Vec Ops),java-vecops,25.0.1,1065.46,1049.23,1081.36,9.4986
Python (PyPy),pypy,3.11.13,1060.47,1059.68,1060.69,9.4964
Racket,racket,9.0,1329.1,1155.47,1333.38,9.4964
Javascript (nodejs),nodejs,25.2.1,1342.09,1204.61,1441.98,9.4979
Java,java,25.0.1,1914.7,1908.72,1936.63,9.4964
Python (NumPy),cpython-numpy,3.13.11,2269.28,2098.63,2573.95,9.4971
Clojure,clj,1.12.4.1582,2544.77,2522.0,2554.47,9.4979
Groovy,groovy,5.0.3,2944.24,2929.35,2996.38,9.4964
Python (MyPyC),mypyc,1.19.1,3580.62,3046.89,3697.7,9.4979
R,r,4.5.2,3421.14,3413.8,3422.41,9.4971
Dart (JIT),dart,3.10.7,4639.41,3843.11,4961.57,9.4979
PHP,php,8.4.16,8165.02,8126.16,8238.26,9.4964
Lua,lua,5.4.8,10816.41,10063.17,11745.94,9.4964
Erlang,erlang,28.3,10228.56,10192.97,10459.35,9.4964
Elixir,elixir,15.2.7.4,15420.1,14527.93,15935.18,9.4964
Janet (compiled),janet-compiled,1.40.1,18828.79,18214.72,22135.43,9.4964
Gleam,gleam,1.13.0,28971.5,28466.9,29239.92,9.4964
Ruby,ruby,3.4.8,36686.93,36598.59,37177.81,9.4964
Janet,janet,1.40.1,51059.29,49960.86,51230.95,9.4964
Raku,raku,2025.12,69578.03,69456.48,76403.57,9.4964
Python (CPython),cpython,3.14.2,89342.32,86368.12,92907.65,9.4964
Perl,perl,5,93294.21,91620.19,95184.31,9.4964
