name,target,version,median,min,max,accuracy
C (clang),c-clang,21.1.2,224.66,223.27,224.9,9.4967
C++ (clang++),cpp-clang,21.1.2,227.35,227.29,227.73,9.4967
Rust (nightly),rust-nightly,1.94.0,227.6,227.57,227.95,9.4952
C# (SIMD),cs-simd,10.0.101,229.1,228.52,229.11,9.4946
Zig,zig,0.15.2,229.38,228.83,270.77,9.4967
Fortran 90,fortran,14.2.0,230.47,230.39,231.12,9.4402
D (LDC),d-ldc,1.41.0,233.24,231.15,233.63,9.4967
Julia,julia,1.12.3,237.32,234.96,240.11,9.4976
C++ (avx2),cpp-avx2,15.2.0,238.33,236.87,238.9,9.4973
Nim,nim,2.2.0,238.38,237.88,239.31,9.4951
C (gcc),c,15.2.0,239.75,239.56,240.54,9.4992
D (GDC),d,15.2.0,240.43,240.31,241.78,9.4992
C++ (g++),cpp,15.2.0,242.35,240.98,243.39,9.4992
Swift (SIMD),swift-simd,6.2.3,524.74,518.71,529.08,8.6928
Rust,rust,1.92.0,607.98,604.87,612.54,9.4979
Crystal,crystal,1.18.2,890.94,887.97,907.9,9.4964
Java (Vec Ops),java-vecops,25.0.1,906.74,888.3,934.93,9.4986
V,v,0.4.12,890.42,889.56,894.62,9.4979
Odin,odin,2025,895.24,892.83,901.74,9.4979
Dart (AOT),dart-aot,3.10.7,910.25,907.11,925.7,9.4979
Swift,swift,6.2.3,911.12,907.81,917.03,9.4964
Objective-C,objc,21.1.2,913.81,913.51,914.26,9.4964
Java graalvm,java-graalvm,25.0.1,915.08,914.98,915.87,9.4964
Javascript (nodejs),nodejs,25.2.1,919.64,919.36,922.71,9.4979
LuaJIT,luajit,2.1.1723681758,939.8,921.75,940.77,9.4964
Deno (TypeScript),deno,2.6.4,926.99,923.37,931.65,9.4979
Go,go,1.25.5,929.34,926.31,934.49,9.4964
Javascript (bun),bunjs,1.3.5,938.71,932.98,955.25,9.4979
Nature,nature,0.7.1,945.47,935.16,947.57,9.4964
Haxe (C++),haxe,4.3.6,942.68,936.33,943.39,9.4964
Swift (relaxed),swift-relaxed,6.2.3,946.43,937.62,948.51,9.4979
Pascal (FPC),pascal,3.2.2,942.58,937.94,945.81,9.4979
Haskell (GHC),haskell,9.10.3,945.6,945.6,945.94,9.4979
Common Lisp (SBCL),sbcl,2.5.11,963.07,946.4,1001.55,9.4979
Pony,pony,0.58.0,956.14,952.37,957.55,9.4979
Kotlin,kotlin,2.2.21,956.65,953.46,956.76,9.4979
Scala,scala,3.7.4,957.75,955.32,959.1,9.4979
WASM (C via Wasmtime),wasm,39.0.1,992.3,966.13,1008.12,9.4979
Ada (gnat-gcc),ada,15.2.0,985.26,978.46,1000.06,9.4964
Pony(nightly),pony-nightly,20231205,997.06,996.08,997.6,9.4979
C#,cs,10.0.101,1014.06,1013.39,1015.73,9.4979
F#,fs,10.0.101,1018.82,1013.64,1034.6,9.4979
OCaml,ocaml,5.4.0,1030.09,1026.12,1038.99,9.4971
Python (PyPy),pypy,3.11.13,1095.82,1095.42,1103.89,9.4964
Racket,racket,9.0,1123.82,1121.01,1124.06,9.4964
Python (NumPy),cpython-numpy,3.13.11,1981.38,1891.77,2450.0,9.4971
Java,java,25.0.1,1906.21,1903.81,1911.26,9.4964
Clojure,clj,1.12.4.1582,2431.27,2424.71,2443.04,9.4979
Groovy,groovy,5.0.3,2501.31,2494.61,2590.6,9.4964
Python (MyPyC),mypyc,1.19.1,2608.91,2598.48,2610.16,9.4979
R,r,4.5.2,3018.52,2982.54,3033.72,9.4971
Dart (JIT),dart,3.10.7,3304.8,3303.58,3336.05,9.4979
Lua,lua,5.4.8,8680.41,8676.87,8690.7,9.4964
PHP,php,8.4.16,8699.16,8689.16,8897.62,9.4964
Elixir,elixir,15.2.7.4,9090.98,9028.48,9219.03,9.4964
Erlang,erlang,28.3,10182.54,10155.94,10221.46,9.4964
Janet (compiled),janet-compiled,1.40.1,16290.19,16241.76,16607.87,9.4964
Gleam,gleam,1.13.0,27641.69,27402.24,27784.85,9.4964
Ruby,ruby,3.4.8,36546.78,36490.29,36622.69,9.4964
Janet,janet,1.40.1,47259.43,47164.56,48353.44,9.4964
Raku,raku,2025.12,70636.74,70288.03,214806.41,9.4964
Perl,perl,5,85298.54,82838.12,91077.26,9.4964
Python (CPython),cpython,3.14.2,94642.87,86632.95,107771.81,9.4964
